#
# This is the translation file for converting NRCS RUSLE2 "skeleton" files to WEPS files. The entries are
# consulted when a RUSLE2 operation or crop is not found in the WEPS databases when the skeleton files are being imported.
# There are 3 columns seperated by pipe| characters.
#
#     Column 1 - The RUSLE2 name of an operation or crop
#
#     Column 2 - What to do when it is encountered, currently the 3 options are:
#                             rename - change name of operation or crop to match a WEPS value 
#                             delete - if name is an operation it removes the entire line
#                                      if name is a crop it deletes only the crop portion of entry
#                renameAndDeleteCrop - changes name of operation, if a crop is part of the entry the crop field is cleared.
#Hmm, looks like we need a "renameAndAddCrop" option also - LEW
#
#     Column 3 - The WEPS name to be used.
#                If column 1 is a crop name and column 2 is set to "rename", then "none" specified in column 3
#                will clear the crop field
# Lines in the file that start with a # are considered comment lines. 
#
# January 7, 2005 - jrf
#
#
# Notes from Jim's email message to me on Jan 7, 2005 - LEW
#
# In the rusle2 translation file if the rusle2 name maps to a vegetation then a 'delete' will delete that vegetation entry from
# any weps records, it will still leave the operation - just the crop column will be empty. The same applies if the action is
# 'rename|none' and the rusle2 name is a vegetation - the weps crop column becomes empty.
#
# There is a new action you can put in the rusle2 translation file: 'renameAndDeleteCrop' which applies an operation rename and
# then blanks the crop entry if one is present with this operation.
#
# For manually doing crop removals the first entry in the crop dropdown list is now blank which effectively clears the crop
# field if this is selected. When the data is converted to a weps management file these crop entries are not included. 
#
#-----------------------
# Example line that would remove the RUSLE2 operation from the generated WEPS man file (based upon a RUSLE2 operation name)
#Harvest, hay, legume|delete|none
#
#Based upon Jim's documentation, the following two lines perform the same function at this time.
# Example line that would remove only the RUSLE2 crop from the generated WEPS man file (based upon a RUSLE2 crop name)
#Alfalfa, yr4 regrowth after cutting|delete|none
# Example line that would remove only the RUSLE2 crop from the generated WEPS man file (based upon a RUSLE2 crop name)
#Alfalfa, yr4 regrowth after cutting|rename|none
#
# Example line that would rename the operation and remove a crop entry if it exists
#Harvest, hay, legume|RenameAndDeleteCrop|Harvest/Harvest (cut and remove whole plant above cut height)
#-----------------------
# CMZ 20
#
# Note that this one was used as a planting record (not a good thing for RUSLE2 to do with a "re-growth" record)
#
#
# Can't add "manure" crop with this substitution
#Manure spreader, solid and semi-solid|rename|Other/Add Crop Residue
#
#
Weeds, less than 3 mo growth|rename|Weeds, less than 3 mo growth
Weeds, less than 6 mo growth|rename|Weeds, less than 6 mo growth
Weeds, less than 9 mo growth|rename|Weeds, less than 9 mo growth
Weeds, winter, Central|rename|Weeds, winter, Central
Weeds, winter, Deep SO|rename|Weeds, winter, Deep SO
Weeds, winter, Mid South|rename|Weeds, winter, Mid South
Wheat, regrowth after winter grazing|delete|none
Wheat, spring 14in rows|rename|Wheat, spring 14in row
Wheat, spring 7in rows|rename|Wheat, spring 7in rows
Wheat, spring graze grain|rename|Wheat, spring graze grain
Wheat, spring graze out|rename|Wheat, spring graze out
Wheat, spring, CMZ 10, 10 in. spac.|rename|Wheat, spring, CMZ 10, 10 in. spac
Wheat, spring, CMZ 47, 7 in. spac.|rename|Wheat, spring, CMZ 47, 7 in. spac
Wheat, spring, CMZ 50, 7-10 in.spac.|rename|Wheat, spring, CMZ 50, 7-10 in. spac
Wheat, spring, hay, 7in rows|rename|Wheat, spring 7in rows
Wheat, winter 14in rows|rename|Wheat, winter
Wheat, winter 7in rows|rename|Wheat, winter
Wheat, winter 7in rows irrigated|rename|Wheat, winter, irrigated
Wheat, winter cover|rename|Wheat, winter cover
Wheat, winter graze out South|rename|Wheat, winter grazed forage
Wheat, winter graze, grain|rename|Wheat, winter graze, grain
Wheat, winter grazed forage|rename|Wheat, winter grazed forage
Wheat, winter nurse crop  w/ red clover|rename|Wheat, winter cover
Wheat, winter silage|rename|Wheat, winter silage
Wheat, winter silage S.E.|rename|Wheat, winter, grain S.E
Wheat, winter south 7in rows|rename|Wheat, winter, grain S.E
Wheat, winter, CMZ 10, 10 in. spac. delayed germ.|rename|Wheat, winter, CMZ 10, 10 in. spac. early plant
Wheat, winter, CMZ 10, 10 in. spac. early plant|rename|Wheat, winter, CMZ 10, 10 in. spac. early plant
Wheat, winter, CMZ 10, 10 in. spac. late plant|rename|Wheat, winter, CMZ 10, 10 in. spac. early plant
Wheat, winter, CMZ 47, 7-10 in. spac. late plant|rename|Wheat, spring, hay, 7in rows
Wheat, winter, CMZ 47, 7-10 in.spac. early plant|rename|Wheat, winter CMZ 47, 7-10 in. spac
Wheat, winter, CMZ 50 hi ppt, 14-16 in. spac. early plant|rename|Wheat, winter, CMZ 50 hi ppt 14-16in spac
Wheat, winter, CMZ 50 hi ppt, 14-16 in. spac. late plant|rename|Wheat, winter, CMZ 50 hi ppt 14-16in spac
Wheat, winter, CMZ 50 hi ppt, 14-16 in. spac. late plant old|rename|Wheat, winter, CMZ 50 hi ppt 14-16in spac
Wheat, winter, CMZ 50 hi ppt, 7-10 in. spac. early plant|rename|Wheat, winter, CMZ 50 hi ppt 7-10in spac
Wheat, winter, CMZ 50 hi ppt, 7-10 in. spac. late plant|rename|Wheat, winter, CMZ 50 hi ppt 7-10in spac
Wheat, winter, CMZ 50 lo ppt, 16-18 in. spac. early plant|rename|Wheat, winter, CMZ 50 lo ppt, 16-18 in spac
Wheat, winter, CMZ 50 lo ppt, 16-18 in.spac. late plant|rename|Wheat, winter, CMZ 50 lo ppt, 16-18 in spac
Wheat, winter, cover S.E.|rename|Wheat, winter cover
Wheat, winter, grain and timothy|rename|Wheat, winter, grain S.E
Wheat, winter, grain S.E.|rename|Wheat, winter, grain S.E
Wheat, winter, grain w/ timothy|rename|Wheat, winter, grain S.E
Wheat, winter, hay or silage, CMZ 10, 10 in. spac.|rename|Wheat, winter, hay or silage, CMZ 10, 10 in. spac
Wheat, winter, hay, 7in rows|rename|Wheat, winter, hay, 7in rows
Wheat, winter, mid-south|rename|Wheat, winter, mid-south
Wheat, winter, silage, mid south, 7in rows|rename|Wheat, winter silage
Wheat, winter, west coast|rename|Wheat, winter, west coast

#These crops were originally located in the Permanent Cover Not harvested sub #folder
#
Bahiagrass,  not harvested|rename|Grass, warm season, forage
Barley, annual winter cover, CA|rename|Small grain, annual cover
Bermudagrass, common, not harvested|rename|Grass, warm season, forage
Brome, California, established cover, CA|rename|Grass, cool season, forage
Brome, California, regrowth after cut, high cover, CA|delete|none
Brome, California, regrowth after cut, low cover, CA|delete|none
Brome, California, seeding period, CA|rename|Grass, cool season, forage
Brome, annual (Blando), winter cover, CA|rename|Grass, cool season, forage
Crownvetch, established, not harvested|rename|Vetch, hairy
Fescue, annual (Zorro), winter cover, CA|rename|Grass, cool season, forage
Fescue, red, established, CA|rename|Grass, cool season, forage
Fescue, red, regrowth after cut, high cover, CA|delete|none
Fescue, red, regrowth after cut, low cover, CA|delete|none
Fescue, red, seeding period, CA|rename|Grass, cool season, forage
Grass, cool season permanent not harvested|rename|Grass, cool season, forage
Grass, cool season permanent not harvested 2yr establishment, spring seeded|rename|Grass, cool season, forage
Grass, cool season, not harvested with killed strips|rename|Grass, cool season, forage
Grass, warm season permanent, not harvested|rename|Grass, warm season, forage
Grass, warm season permanent, not harvested poor condition|rename|Grass, warm season, forage
Grass, warm season permanent, not harvested, excellent condition|rename|Grass, warm season, forage
Grass, warm season permanent, not harvested, good condition|rename|Grass, warm season, forage
Grass, warm season, permanent, establishment period, poor condition|rename|Grass, warm season, forage
Grass, warm season, permanent, not harvested, 3yr establishment, spring seeded|rename|Grass, warm season, forage
Kentucky Bluegrass, not harvested|rename|Grass, cool season, forage
Pine bluegrass, California, regrowth after cut, high cover, CA|delete|none
Pine bluegrass, California, regrowth after cut, low cover, CA|delete|none
Pine bluegrass, seeding period, CA|rename|Grass, cool season, forage
Pine blugrass,  established perennial cover, CA|rename|Grass, cool season, forage
Sericea Lespedeza, not harvested|delete|none
Vegetative Barrier permanent, not harvested|delete|none
Vetiver grass barrier|delete|none
Weeping lovegrass, not harvested|rename|Grass, cool season, forage
#
Add mulch|rename|Add mulch
Aerator, field surface, ground driven|rename|Aerator, field surface, ground driven
Aerator, field surface, ground driven 0 degree offset|rename|Aerator, field surface, ground driven 0 degree offset
Aerator, field surface, ground driven 10 degree offset|rename|Aerator, field surface, ground driven 10 degree offset
Aerator, field surface, ground driven 5 degree offset|rename|Aerator, field surface, ground driven 5 degree offset
Aerial seeding|rename|Aerial seeding
Bale Corn stalk strips|rename|Bale Corn stalk strips
Bale straw or residue|rename|Bale straw or residue
Bed shaper|rename|Bed shaper
Bed shaper high disturbance|rename|Bed shaper high disturbance
Bed shaper, 12 in|rename|Bed shaper, 12 in
Bedder, hipper, disk hiller|rename|Bedder, hipper, disk hiller
Bedder, hipper, hiller 12 in high|rename|Bedder, hipper, hiller 12 in high
Bedder, hipper, hiller 15 in high|rename|Bedder, hipper, hiller 15 in high
Bedder, hipper, hiller 18 in high|rename|Bedder, hipper, hiller 18 in high
Begin growth|rename|Begin growth
Begin new growth|delete|none
Begin weed growth|rename|Begin weed growth
Bulldozer, clearing/cutting|delete|none
Bulldozer, clearing/cutting light|delete|none
Bulldozer, filling/leveling|rename|Bulldozer, filling-leveling
Burn residue|rename|Burn Residue
Burn residue, high intensity|rename|Burn residue, high intensity
Burn residue, low intensity|rename|Burn residue, low intensity
Burn residue, mod. high intensity|rename|Burn residue, mod. high intensity
Burn residue, moderate intensity|rename|Burn residue, moderate intensity
Burn sugarcane|rename|Burn sugarcane
Burrowing, heavy, Prairie dog|delete|none
Burrowing, light, Prairie dog|delete|none
Burrowing, moderate, Prairie dog|delete|none
Chisel plow, coulter, st. pts.|rename|Chisel plow, coulter, st. pts
Chisel plow, coulter, st. pts., cover disks|rename|Chisel plow, coulter, st. pts
Chisel plow, coulter, sweeps|rename|Chisel plow, coulter, sweeps
Chisel plow, coulter, twst. pts.|rename|Chisel, st. pt
Chisel plow, coulter, twst. pts., cover disks|rename|Chisel, st. pt
Chisel plow, disk, st. pts.|rename|Chisel, st. pt
Chisel plow, disk, st. pts., cover disks|rename|Chisel, st. pt
Chisel plow, disk, twst. pts.|rename|Chisel, st. pt
Chisel plow, disk, twst. pts., cover disks|rename|Chisel, st. pt
Chisel, 12-16 in. low crown sweep 3 to 4  in. depth|rename|Chisel, 12-16 in. low crown sweep 3 to 4  in. depth
Chisel, st. pt.|rename|Chisel, st. pt
Chisel, st. pt. 12 in deep|rename|Chisel, st. pt. 12 in deep
Chisel, st. pt. 15 in deep|rename|Chisel, st. pt. 15 in deep
Chisel, st. pt. 5 in deep|rename|Chisel, st. pt. 5 in deep
Chisel, sweep shovel|rename|Chisel, sweep shovel
Chisel, sweep shovel 5 in. depth|rename|Chisel, sweep shovel 5 in. depth
Chisel, twisted shovel|rename|Chisel, twisted shovel
Chop veg. with machete|delete|none
Coulter caddy, dbl gang w/ fluted coulters|rename|Coulter caddy, fluted coulters
Coulter caddy, w/ fluted coulters|rename|Coulter caddy, fluted coulters
Coulter caddy, with smooth coulters|rename|Coulter caddy, smooth coulters
Coulter tiller and spike harrow|rename|Coulter caddy, fluted coulters
Coulter tiller, 10 degree angle, coiled tine harrow, rolling basket|rename|Coulter caddy, fluted coulters
Cultipacker, roller|rename|Cultipacker, roller
Cultivate, manually|delete|none
Cultivate, manually, low intensity|delete|none
Cultivate, manually, moderate intensity|delete|none
Cultivator, between beds, add residue|rename|Cultivator, between beds, add residue
Cultivator, field 6-12 in shovels C|rename|Cultivator, field 6-12 in sweeps
Cultivator, field 6-12 in sweeps|rename|Cultivator, field 6-12 in sweeps
Cultivator, field w/ spike points|rename|Cultivator, field, spike points
Cultivator, flame|rename|Cultivator, row 1 in ridge
Cultivator, hipper, disk hiller on beds|rename|Cultivator, row between beds
Cultivator, off bar w/disk hillers on beds|rename|Cultivator, row between beds
Cultivator, rotary|rename|Cultivator, rotary
Cultivator, rotary on beds|rename|Cultivator, rotary on beds
Cultivator, row, rotary|rename|Cultivator, rotary, row
Cultivator, row - 1st pass ridge till|rename|Cultivator, row - 1st pass ridge till
Cultivator, row - 2nd pass ridge till|rename|Cultivator, row - 2nd pass ridge till
Cultivator, row 1 in ridge|rename|Cultivator, row 1 in ridge
Cultivator, row 3 in ridge|rename|Cultivator, row 3 in ridge
Cultivator, row between beds|rename|Cultivator, row between beds
Cultivator, row, high residue|rename|Cultivator, row, high residue
Detasseler, seed corn|rename|Detasseler, seed corn
Disk, inter row strips|rename|Disk, inter row strips
Disk, offset, heavy |rename|Disk, offset, heavy
Disk, offset, heavy 12 in depth|rename|Disk, offset, heavy 12 in depth
Disk, offset, heavy 15 in depth|rename|Disk, offset, heavy 15 in depth
Disk, oxen, strip 30 pct disturb|delete|none
Disk, oxen, strip 60 pct disturb|delete|none
Disk, single gang|rename|Disk, single gang
Disk, tandem heavy primary op.|rename|Disk, tandem heavy primary op
Disk, tandem light finishing|rename|Disk, tandem light finishing
Disk, tandem secondary op|rename|Disk, tandem secondary op
Disk, tandem secondary op..|rename|Disk, tandem secondary op
disk, tandem secondary op.|rename|Disk, tandem secondary op
Disk, tandem secondary op.|rename|Disk, tandem secondary op
Do all|rename|Do all
Do all, on beds|rename|Do all, on beds
Drill or air seeder single disk openers 7-10 in spac.|rename|Drill or air seeder single disk openers 7-10 in spac
Drill or air seeder single disk openers, + fert. opnrs 7-10 in spac.|rename|Drill or air seeder single disk openers, fert. opnrs 7-10 in spac
Drill or air seeder tee slot openers 7-10 in spac.|rename|Drill or air seeder single disk openers 7-10 in spac
Drill or air seeder, hoe opener in hvy residue|rename|Drill or air seeder, hoe opener in hvy residue
Drill or air seeder, hoe/chisel openers 12-15 in spac.|rename|Drill or air seeder, hoe or chisel opener 12-15 in spac
Drill or air seeder, hoe/chisel openers 6-12 in spac.|rename|Drill or air seeder, hoe or chisel openers 6-12 in spac
Drill or air seeder, paired, opposing single disk openers 6x9 in spac.|rename|Drill or air seeder single disk openers 7-10 in spac
Drill or airseeder, dble disk opnr w/ fluted coult 5x10 paired row|rename|Drill or air seeder single disk openers 7-10 in spac
Drill or airseeder, double disk |rename|Drill or airseeder, double disk
Drill or airseeder, double disk opener, w/ fert openers|rename|Drill or airseeder, double disk opener, fert openers
Drill or airseeder, double disk, w/ fluted coulters|rename|Drill or airseeder, double disk, fluted coulters
Drill or airseeder, offset double disk openers|rename|Drill or airseeder, offset double disk openers
Drill, air seeder, sweep or band opener|rename|Drill, air seeder, sweep or band opener
Drill, deep furrow  12 to 18 in spacing|rename|Drill, deep furrow  12 to 18 in spacing
Drill, deep furrow  7 to 10 in spacing|rename|Drill, deep furrow  12 to 18 in spacing
Drill, double disk, 7-8 in packer C|rename|Drill or airseeder, double disk
Drill, double disk, orchard vineyard cover|delete|none
Drill, heavy, direct seed, dbl disk opnr|rename|Drill, heavy, direct seed, dbl disk opnr
Drill, heavy, direct seed, dbl disk opnr w/row cleaners|rename|Drill, heavy, direct seed, dbl disk opnr, row cleaners
Drill, range|rename|Drill, range
Drill, semi-deep furrow  12 to 18 in spacing|rename|Drill, semi-deep furrow  12 to 18 in spacing
Drip tape extractor|rename|Drip tape extractor
Drip tape injection shank|rename|Drip tape injection shank
Drip tape injection shank on beds|rename|Drip tape injection shank on beds
Drip tape injector bed shaper|rename|Drip tape injector bed shaper
Erosion blanket applicaton|rename|Erosion blanket applicaton
Fert applic. anhyd knife 12 in|rename|Fert applic. anhyd knife 12 in
Fert applic. coulter, high press. inject  12 in|rename|Fert applic. coulter, high press. inject  12 in
Fert applic. deep plcmt hvy shnk|rename|Fert applic. deep plcmt hvy shnk
Fert applic. shank low disturbance, 12 in|rename|Fert applic. shank low disturbance, 12 in
Fert applic. shank low disturbance, 15 in spacing|rename|Fert applic. shank low disturbance, 15 in spacing
Fert applic. surface broadcast|rename|Fert applic. surface broadcast
Fert. applic. anhyd knife 15 in spacing|rename|Fert applic. anhyd knife 12 in
Fert. applic. anhyd knife 30 in|rename|Fert. applic. anhyd knife 30 in
Fert. applic. sugarcane|rename|Fert. applic. anhyd knife 30 in
Fert. applic., strip-till 30 in|rename|Fert. applic., strip-till 30 in
Furrow diker|rename|Furrow diker
Furrow shaper, torpedo|rename|Furrow shaper, torpedo
Germination of dormant seeding|rename|Begin growth
Graze, continuous|renameAndDeleteCrop|Graze, continuous
Graze, continuous overgrazing|renameAndDeleteCrop|Graze, continuous overgrazing 90 pct removal
Graze, continuous, heavy hoof traffic|renameAndDeleteCrop|Graze, continuous overgrazing 90 pct removal
Graze, intensive rotational|renameAndDeleteCrop|Graze, intensive rot 85 pct removal
Graze, rotational|renameAndDeleteCrop|Graze, rotational 50 pct removal
Graze, stubble or residue|rename|Graze, stubble or residue
Graze, stubble or residue 25 pct|rename|Graze, stubble or residue 25 pct
Graze, stubble or residue 50 pct|rename|Graze, stubble or residue 50 pct
Graze, stubble or residue 75 pct|rename|Graze, stubble or residue 75 pct
Harrow, coiled tine|rename|Harrow, coiled tine
Harrow, heavy|rename|Harrow, heavy
Harrow, heavy on heavy resdue|rename|Harrow, heavy on heavy residue
Harrow, rotary|rename|Harrow, rotary
Harrow, rotary, light, fluff fragile residue|rename|Harrow, rotary
Harrow, rotary, light, fluff residue|rename|Harrow, rotary
Harrow, spike tooth|rename|Harrow, spike tooth
Harrow, spike tooth, cover seed|rename|Harrow, spike tooth, cover seed
Harrow, tine, on beds|rename|Harrow, tine, on beds
Harvest, banana|delete|none
Harvest, banana remove stem|delete|none
Harvest, broccoli and cauliflower|rename|Harvest, hand pick
Harvest, cabbage and head lettuce|rename|Harvest, hand pick
Harvest, cabbage and head lettuce, hand|rename|Harvest, hand pick
Harvest, corn grain and 60pct of residue mass|rename|Harvest, killing crop 30pct standing stubble
Harvest, corn grain and part of stover, 1 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 10 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 12 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 14 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 16 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 18 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 2 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 20 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 22 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 24 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 26 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 28 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 30 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 32 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 34 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 36 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 38 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 4 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 42 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 44 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 46 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 6 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn grain and part of stover, 8 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, corn silage with cover crop|rename|Harvest, silage, release cover crop
Harvest, cotton|rename|Harvest, cotton
Harvest, cotton and shred|rename|Harvest, cotton and shred
Harvest, cranberries|delete|none
Harvest, cut flowers|delete|none
Harvest, dig root crops 12 in depth res. buried|rename|Harvest, dig root crops res. buried
Harvest, dig root crops 12 in depth res. on surf|rename|Harvest, dig root crops res. on surf
Harvest, dig root crops res. buried|rename|Harvest, dig root crops res. buried
Harvest, dig root crops res. buried 10in ridge|rename|Harvest, dig root crops res. buried
Harvest, dig root crops res. on surf|rename|Harvest, dig root crops res. on surf
Harvest, forage sorghum|rename|Harvest, forage sorghum
Harvest, fruit crops|delete|none
Harvest, grain, grow cover|rename|Harvest, grain, high cut, release new crop
Harvest, graincorn grain and part of stover, 40 inch stubble|rename|Harvest, grain and part of residue, specify
Harvest, grass or legume seed, burn forage|renameAndDeleteCrop|Harvest, grass or legume seed, burn forage
Harvest, grass or legume seed, leave forage|renameAndDeleteCrop|Harvest, grass or legume seed, leave forage
Harvest, grass or legume seed, remove forage|renameAndDeleteCrop|Harvest, grass or legume seed, remove forage
Harvest, grass seed, remove forage|renameAndDeleteCrop|Harvest, grass or legume seed, remove forage
Harvest, hand pick|renameAndDeleteCrop|Harvest, hand pick
Harvest, hand pull|renameAndDeleteCrop|Harvest, hand pick
Harvest, hay, grass|renameAndDeleteCrop|Harvest, hay, grass
Harvest, hay, legume|renameAndDeleteCrop|Harvest, hay, legume
Harvest, hay, no regrowth|rename|Harvest, hay, legume
Harvest, kenaf|rename|Harvest, sugarcane, after burning
Harvest, killing crop 20pct standing stubble|rename|Harvest, killing crop 20pct standing stubble
Harvest, killing crop 20pct standing stubble, release cover crop|rename|Harvest, grain, low cut, release new crop
Harvest, killing crop 30pct standing stubble|rename|Harvest, killing crop 30pct standing stubble
Harvest, killing crop 50pct standing stubble|rename|Harvest, killing crop 50pct standing stubble
Harvest, killing crop 50pct standing stubble, release cover crop|rename|Harvest, grain, high cut, release new crop
Harvest, killing crop 60pct standing stubble|rename|Harvest, killing crop 60pct standing stubble
Harvest, killing crop 70pct standing stubble|rename|Harvest, killing crop 70pct standing stubble
Harvest, lavender bundles|delete|none
Harvest, leafy veg.|rename|Harvest, leafy veg
Harvest, leafy veg. mechanical|rename|Harvest, leafy veg. mechanical
Harvest, legume seed, remove forage|rename|Harvest, hay, legume
Harvest, orchard and nut crops|delete|none
Harvest, peanut digger|rename|Harvest, peanut digger
Harvest, plantains,stalks left|delete|none
Harvest, plantains,stalks removed|delete|none
Harvest, rootcrops, manually|delete|none
Harvest, rootcrops, manually, 25pct of field disturbed|delete|none
Harvest, rootcrops, manually, 33pct of field disturbed|delete|none
Harvest, rootcrops, manually, 50pct of field disturbed|delete|none
Harvest, rootcrops, manually, one third|delete|none
Harvest, silage|rename|Harvest, silage, kill crop
Harvest, silage 3ft stubble|rename|Harvest, silage, kill crop, 36 in ht
Harvest, small grain silage with cover crop|rename|Harvest, silage, release cover crop
Harvest, small grain, release understory|rename|Harvest, grain, high cut, release new crop
Harvest, snapper header|rename|Harvest, stripper header
Harvest, stripper header|rename|Harvest, stripper header
Harvest, sugarcane, after burning|renameAndDeleteCrop|Harvest, sugarcane, after burning
Harvest, sugarcane, after burning, no regrowth|rename|Harvest, sugarcane, after burning, no regrowth
Harvest, sugarcane, modern|renameAndDeleteCrop|Harvest, sugarcane, after burning
Harvest, sugarcane, old type|renameAndDeleteCrop|Harvest, sugarcane, after burning
Harvest, sugarcane, root rake|rename|Harvest, sugarcane, burn, root rake
Harvest, timber remove tops|delete|none
Harvest, tobacco, burley|rename|Harvest, tobacco, burley
Harvest, tobacco, flue cured|rename|Harvest, hand pick
Harvest, tree buck|delete|none
Harvest, tree length logs|delete|none
Harvest, tree pulpwood cut|delete|none
Harvest, tree, Christmas grow cover|delete|none
Harvest, trees, chipper|delete|none
Harvest, vine crops|rename|Harvest, vine crops
Harvest, vine crops, mechanical|rename|Harvest, vine crops, mechanical
Hydro-seeder|rename|Aerial seeding
Kill crop|rename|Kill crop
Knife, windrow dry beans|rename|Harvest (knife, windrow, combine)
Land plane|rename|Land plane
Land plane; orchard and vine crops|delete|none
Laser Land leveler|rename|Land plane
Lister, 40 in|rename|Lister, 40 in
Log skidder|delete|none
Manure injector, liquid high disturb.30 inch|rename|Manure injector, liquid high disturb.30 inch
Manure injector, liquid low disturb.15 inch|rename|Manure injector, liquid low disturb.15 inch
Manure injector, liquid low disturb.30 inch|rename|Manure injector, liquid low disturb.30 inch
Manure spreader, liquid|rename|Manure spreader, liquid
Manure spreader, slurry|rename|Manure spreader, slurry
Manure spreader, solid and semi-solid|rename|Manure spreader, solid and semi-solid
Manure, liquid irrigation|rename|Manure, liquid irrigation
Middle buster, digger|rename|Lister, 40 in
Mower, swather, on stubble|rename|Mower, swather, windrower
Mower, swather, on stubble 4in|rename|Mower, swather, windrower
Mower, swather, windrower|rename|Mower, swather, windrower
Mulch crimper|rename|Mulch crimper
Mulch treader|rename|Mulch treader
No operation|delete|none
Para-plow or para-till|rename|Para-plow or para-till
Pasture renovator|delete|none
Paving|delete|none
Permeable weed barrier applicator|rename|Add mulch
Planter, double disk opener on 12 inch high beds|rename|Planter, double disk opener on 12 inch high beds
Planter, double disk opener on 15 inch high beds|rename|Planter, double disk opener on 15 inch high beds
Planter, double disk opener on 18 inch high beds|rename|Planter, double disk opener on 18 inch high beds
Planter, double disk opener on 8 inch high beds|rename|Planter, double disk opener on 8 inch high beds
Planter, double disk opnr|rename|Planter, double disk opnr
Planter, double disk opnr w/fluted coulter|rename|Planter, double disk opnr, fluted coulter
Planter, double disk opnr w/fluted coulter, 15 inch row spacing|rename|Planter, double disk opnr, fluted coulter, 15 in row sp
Planter, double disk opnr, 15 inch row spacing|rename|Planter, double disk opnr
Planter, double disk opnr, 18 in rows|rename|Planter, double disk opnr
Planter, furrow opener in 4 inch deep furrows|rename|Planter, furrow opener in 4 inch deep furrows
Planter, furrow opener in 6 inch deep furrows|rename|Planter, furrow opener in 6 inch deep furrows
Planter, furrow opener in 8 inch deep furrows|rename|Planter, furrow opener in 8 inch deep furrows
Planter, in-row subsoiler|rename|Planter, in-row subsoiler
Planter, in-row subsoiler low disturbace|rename|Planter, in-row subsoiler low disturbace
Planter, in-row subsoiler w/ residue mgr.|rename|Planter, in-row subsoiler, residue mgr
Planter, narrow slot w/smooth or rippled coulter|rename|Planter, double disk opnr, fluted coulter
Planter, RELAY INTERCROP,  double disk opnr w/fluted coulter|delete|none
Planter, ridge till |rename|Planter, ridge till
Planter, runner opener|rename|Planter, double disk opnr
Planter, small veg seed|rename|Planter, small veg seed
Planter, small veg seed on 8 inch high beds|rename|Planter, small veg seed on 8 inch high beds
Planter, sprig conventional|rename|Planter, sprig conventional
Planter, sprig, no-till|rename|Planter, sprig conventional
Planter, strip till|rename|Planter, strip till
Planter, sugarcane|rename|Planter, sugarcane
Planter, transplanter, vegetable|rename|Planter, transplanter, vegetable
Planter, transplanter, vegetable on 8 inch high beds|rename|Planter, transplanter, vegetable on 8 inch high beds
Planter, transplanter, vegetable, no-till|rename|Planter, transplanter, vegetable, no-till
Planter, tree, mechanical transplanter|delete|none
Planting, broadcast seeder|rename|Planting, broadcast seeder
Planting, hand 10 percent dist.|rename|Planting, manual
Planting, hand 5 percent dist.|rename|Planting, manual
Planting, manual|rename|Planting, manual
Planting, manual on 8 inch high beds|rename|Planting, manual
Planting, no-til manually|rename|Planting, manual
Plastic mulch applic. 40 inch beds 100 percent cover|rename|Plastic mulch applic. 40 inch beds 100 percent cover
Plastic mulch applic. 40 inch beds 75 percent cover|rename|Plastic mulch applic. 40 inch beds 75 percent cover
Plastic mulch applic. 48 inch beds 100 percent cover|rename|Plastic mulch applic. 48 inch beds 100 percent cover
Plastic mulch applic. 48 inch beds 80 percent cover|rename|Plastic mulch applic. 48 inch beds 80 percent cover
Plastic mulch applic. 54 inch beds 100 percent cover|rename|Plastic mulch applic. 54 inch beds 100 percent cover
Plastic mulch applic. 54 inch beds 80 percent cover|rename|Plastic mulch applic. 54 inch beds 80 percent cover
Plastic mulch applic. 64 inch beds 100 percent cover|rename|Plastic mulch applic. 64 inch beds 100 percent cover
